,Data,hora,Modalidade,Nipe,Categoria,Time da Casa,Estado de Origem: Time da Casa,resultado final time da casa,X,resultado final visitante,Visitante,Estado de Origem: Time Visitante,Local,Campeonato,Cidade,Estado,total de pontos;
51,05/07/1966,,XV,Masculino,Adulto,Aliança,,3,X,9,SPRFC,,,Campeonato Brasileiro - Série A,,,;
52,05/14/1966,,XV,Masculino,Adulto,SPAC ‘B’,,6,X,3,Bertioga,,,Campeonato Brasileiro - Série B,,,;
53,05/14/1966,,XV,Masculino,Adulto,SPAC,,38,X,3,Aliança,,,Campeonato Brasileiro - Série A,,,;
54,05/21/1966,,XV,Masculino,Adulto,SPRFC,,5,X,43,SPAC,,,Campeonato Brasileiro - Série A,,,;
57,05/28/1966,,XV,Masculino,Adulto,Bertioga,,12,X,0,Liceu Pasteur,,,Campeonato Brasileiro - Série B,,,;
59,06/04/1966,,XV,Masculino,Adulto,SPAC,,43,X,0,SP RFC,,,Campeonato Brasileiro - Série A,,,;
65,06/18/1966,,XV,Masculino,Adulto,Aliança,,5,X,44,SPAC,,,Campeonato Brasileiro - Série A,,,;
68,06/25/1966,,XV,Masculino,Adulto,SPRFC,,9,X,8,Aliança,,,Campeonato Brasileiro - Série A,,,;
71,07/09/1966,,XV,Masculino,Adulto,SPAC,,31,X,13,Aliança,,,Campeonato Brasileiro - Série A,,,;
74,08/06/1966,,XV,Masculino,Adulto,Pasteur,SP,0,X,36,SPAC B,SP,,Campeonato Brasileiro - Série B,,,;
78,08/20/1966,,XV,Masculino,Adulto,Bertioga,,8,X,20,SPAC B,,,Campeonato Brasileiro - Série B,,,;
84,09/03/1966,,XV,Masculino,Adulto,SPAC ‘B’,,25,X,3,Liceu Pasteur,,,Campeonato Brasileiro - Série B,,,;
85,09/03/1966,,XV,Masculino,Adulto,SPRFC,,11,X,12,SPAC,,,Campeonato Brasileiro - Série A,,,;
87,09/10/1966,,XV,Masculino,Adulto,Pasteur,SP,3,X,15,Bertioga,SP,,Campeonato Brasileiro - Série B,,,;
88,09/10/1966,,XV,Masculino,Adulto,Aliança,,13,X,6,SP RFC,,,Campeonato Brasileiro - Série A,,,;
103,04/27/1968,,XV,Masculino,Adulto,Medicina,SP,14,X,17,São Paulo RFC,SP,,Campeonato Paulista - Série A,São Paulo,SP,31;
104,04/27/1968,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,3,X,42,SPAC,SP,,Campeonato Paulista - Série A,São Paulo,SP,45;
